autor_id,nombre,institucion,articulos,citas
https://openalex.org/A5016959622,Ivette Cruz‐Bautista,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,2,757
https://openalex.org/A5085083859,Casandra Reyes‐García,"Secretaría de Investigación, Innovación y Educación Superior",1,172
https://openalex.org/A5053170826,C. Espinoza,Universidad Nacional Autónoma de México,2,379
https://openalex.org/A5070601448,J. C. Arteaga-Velázquez,Universidad Michoacana de San Nicolás de Hidalgo,1,232
https://openalex.org/A5069074260,Tonatiuh Barrientos‐Gutiérrez,Instituto Nacional de Salud Pública,3,419
https://openalex.org/A5011524817,Carla Medrano-Borromeo,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,1,151
https://openalex.org/A5085325388,Neftalí Eduardo Antonio-Villa,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,2,1246
https://openalex.org/A5032289984,Leonardo Crespo‐Herrera,Centro Internacional de Mejoramiento de Maíz Y Trigo,2,408
https://openalex.org/A5052086418,Arturo Galindo‐Fraga,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,2,321
https://openalex.org/A5069071467,Javier A. Garza-Cervantes,Universidad Autónoma de Nuevo León,2,339
https://openalex.org/A5009500370,Ciprian F. Ardelean,"Universidad Autónoma de Zacatecas ""Francisco García Salinas""",1,172
https://openalex.org/A5033911261,Sı́món Barquera,Instituto Nacional de Salud Pública,8,1440
https://openalex.org/A5066843863,Francisco Barajas‐Olmos,National Institute of Genomic Medicine,2,810
https://openalex.org/A5022926135,A. González-Muñoz,Universidad de Guadalajara,1,147
https://openalex.org/A5070433412,I. Rivera,National Institute of Anthropology and History,1,172
https://openalex.org/A5089666473,Thierry Hernández‐Gilsoul,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,1,151
https://openalex.org/A5031331788,Mark S. Reiter,Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,1,222
https://openalex.org/A5013217529,R. Torres-Escobedo,Universidad de Guadalajara,1,232
https://openalex.org/A5026269100,Shannon N. Westin,Sanofi (Mexico),1,165
https://openalex.org/A5087794529,Nagamani Balagurusamy,Universidad Autónoma de Coahuila,3,934
https://openalex.org/A5048736684,José Luis Cárdenas-Fragoso,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,1,151
https://openalex.org/A5024463617,José Luís Andrade,"Secretaría de Investigación, Innovación y Educación Superior",4,953
https://openalex.org/A5043554307,Robert G. Uzzo,Sanofi (Mexico),1,165
https://openalex.org/A5057586786,Anna Barbro Sætersdal,Tecnológico de Monterrey,1,208
https://openalex.org/A5049972616,A. Sandoval,Universidad Nacional Autónoma de México,2,379
https://openalex.org/A5023783658,Frédéric Amant,Tecnológico de Monterrey,1,208
https://openalex.org/A5066704295,Carla M. Román‐Montes,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,1,151
https://openalex.org/A5107834619,M. Arslandok,Universidad Nacional Autónoma de México,1,135
https://openalex.org/A5040290360,Richard D. Gelber,Tecnológico de Monterrey,1,208
https://openalex.org/A5087905184,Oscar Bañuelos Tavarez,Centro Internacional de Mejoramiento de Maíz Y Trigo,1,222
https://openalex.org/A5061749338,Xavier Soberón,National Institute of Genomic Medicine,1,336
