autor_id,x,y
https://openalex.org/A5073272621,0.6349483537812414,0.6759741675763592
https://openalex.org/A5022989406,0.6619105571855557,0.522780938559575
https://openalex.org/A5059664632,-0.6163179056266678,-0.6098476988202185
https://openalex.org/A5056099281,-0.623883596993777,-0.4191502676824227
https://openalex.org/A5018700326,0.5530196166566859,1.0
https://openalex.org/A5077204968,0.3401850264058285,0.21285707516907307
https://openalex.org/A5032652567,0.9433568118190647,0.40497448058015945
https://openalex.org/A5068049825,0.1401647119596412,0.40232045533182964
https://openalex.org/A5009404553,-0.515228745316399,-0.49294147153677526
https://openalex.org/A5073803808,-0.5229609524162193,-0.724564316966213
https://openalex.org/A5081220480,0.6468147812304087,-0.25063165252084874
https://openalex.org/A5049389291,-0.26076752070649034,-0.6702787601997161
https://openalex.org/A5000458971,0.34825793594376203,0.9745053215520779
https://openalex.org/A5047760994,0.4843614725399422,0.5345330842424164
https://openalex.org/A5076778683,0.14363522997869127,0.5043085858105727
https://openalex.org/A5089922603,0.1238520161714932,-0.3410624729664264
https://openalex.org/A5013640580,-0.5780975716321138,0.6954915389058546
https://openalex.org/A5031038442,0.14677112892876695,-0.5756513078407819
https://openalex.org/A5105407837,0.20006484067754457,-0.9304981712521279
https://openalex.org/A5037946457,-0.3001407456564434,-0.5234405597566858
https://openalex.org/A5008907194,-0.8999923773918077,0.4311197690356705
https://openalex.org/A5003947009,-0.6699022403006266,-0.33467925331971876
https://openalex.org/A5076158905,-0.3800508272380828,-0.48611948390165366
