anio,nuevas_colabs,citas_promedio
2018,3224,238.88895781637717
2019,1886,238.28048780487805
2020,2649,223.28576821442053
2021,1214,196.1523887973641
2022,640,220.678125
2023,926,228.35529157667386
2024,97,226.4742268041237
